Material;Mat_Abrev;Mat_Familia;Mat_Subfamilia
Aluminium;Al;General; Other non-ferrous metals
Antimony;Sb;General; Other non-ferrous metals
Arsenic;As;General; Other non-ferrous metals
Baryte;GBrt;General;Industrial & constr. minerals
Bauxite;Bx;General; Other non-ferrous metals
Bentonite;GBn;General;Industrial & constr. minerals
Beryllium;Be;General; Other non-ferrous metals
Bismuth;Bi;General; Other non-ferrous metals
Borate;Gbo;General;Industrial & constr. minerals
Cadmium;Cd;General; Other non-ferrous metals
Cerium;Ce;Rare earths;LREEs-Light
Chromium;Cr;General;Iron and ferro-alloy metals
Cobalt;Co;General;Iron and ferro-alloy metals
Coking coal;GCc;General; Bio and other materials
Copper;Cu;General; Other non-ferrous metals
Diatomite;Di;General;Industrial & constr. minerals
Dysprosium;Dy;Rare earths;HREEs-Heavy
Erbium;Er;Rare earths;HREEs-Heavy
Europium;Eu;Rare earths;HREEs-Heavy
Feldspar;Fsp;General;Industrial & constr. minerals
Fluorspar;Fl;General;Industrial & constr. minerals
Gadolinium;Gd;Rare earths;HREEs-Heavy
Gallium;Ga;General; Other non-ferrous metals
Germanium;Ge;General; Other non-ferrous metals
Gold;Au;Precious metals;General
Gypsum;Gp;General;Industrial & constr. minerals
Hafnium;Hf;General; Other non-ferrous metals
Helium;He;General; Bio and other materials
Ho, Tm, Lu, Yb;HoTmLuYb;Rare earths;HREEs-Heavy
Indium;In;General; Other non-ferrous metals
Iridium;Ir;Precious metals;PGM-Platinum Group Metals
Iron ore;Fe;General;Iron and ferro-alloy metals
Kaolin clay;Kc;General;Industrial & constr. minerals
Lanthanum;La;Rare earths;LREEs-Light
Lead;Pb;General; Other non-ferrous metals
Limestone;Ls;General;Industrial & constr. minerals
Lithium;Li;General; Other non-ferrous metals
Magnesite;Mgs;General;Industrial & constr. minerals
Magnesium;Mg;General; Other non-ferrous metals
Manganese;Mn;General;Iron and ferro-alloy metals
Molybdenum;Mo;General;Iron and ferro-alloy metals
Natural cork;GNC;General; Bio and other materials
Natural graphite;GGr;General;Industrial & constr. minerals
Natural Rubber;GNr;General; Bio and other materials
Natural Teak wood;GNt;General; Bio and other materials
Neodymium;Nd;Rare earths;LREEs-Light
Nickel;Ni;General;Iron and ferro-alloy metals
Niobium;Nb;General;Iron and ferro-alloy metals
Palladium;Pd;Precious metals;PGM-Platinum Group Metals
Perlite;Pe;General;Industrial & constr. minerals
Phosphate rock;Phs;General;Industrial & constr. minerals
Phosphorus;P;General;Industrial & constr. minerals
Platinum;Pl;Precious metals;PGM-Platinum Group Metals
Potash;Po;General;Industrial & constr. minerals
Praseodymium;Pr;Rare earths;LREEs-Light
Rhenium;Re;General; Other non-ferrous metals
Rhodium;Rh;Precious metals;PGM-Platinum Group Metals
Ruthenium;Ru;Precious metals;PGM-Platinum Group Metals
Samarium;Sm;Rare earths;LREEs-Light
Sapele wood;GSw;General; Bio and other materials
Scandium;Sc;Rare earths;HREEs-Heavy
Selenium;Se;General; Other non-ferrous metals
Silica sand;Sl;General;Industrial & constr. minerals
Silicon metal;Si;General; Other non-ferrous metals
Silver;Ag;Precious metals;General
Strontium;Sr;General; Other non-ferrous metals
Sulphur;S;General;Industrial & constr. minerals
Talc;Tc;General;Industrial & constr. minerals
Tantalum;Ta;General;Iron and ferro-alloy metals
Tellurium;Te;General; Other non-ferrous metals
Terbium;Tb;Rare earths;HREEs-Heavy
Tin;Sn;General; Other non-ferrous metals
Titanium;Ti;General;Iron and ferro-alloy metals
Tungsten;W;General;Iron and ferro-alloy metals
Vanadium;V;General;Iron and ferro-alloy metals
Yttrium;Y;Rare earths;HREEs-Heavy
Zinc;Zn;General; Other non-ferrous metals
Zirconium;Zr;General; Other non-ferrous metals
